millis,A0,A1,A2,B0,B1,B2
5695,-164.27371,3.391075,5.7216372,8.936031,14.505135,29.325008
5700,-164.26521,3.3808267,5.69223,11.347845,13.804897,32.842266
5711,-164.25113,3.3939042,5.694441,13.933877,12.048813,34.516014
5720,-164.23714,3.3990793,5.7026224,16.498636,9.4627495,34.89211
5730,-164.25005,3.3603325,5.682784,18.625055,7.050816,34.59684
5740,-164.24904,3.3188596,5.677096,20.357866,5.7207084,33.704487
5750,-164.25511,3.2894561,5.686615,21.428934,5.935299,32.64953
5762,-164.25447,3.2845185,5.6718316,21.69644,7.2129903,32.069633
5774,-164.25487,3.290444,5.6796975,21.092615,8.693534,32.164127
5781,-164.24876,3.2971346,5.6811686,19.702417,10.042775,32.219177
5791,-164.25456,3.2993307,5.66681,17.606071,12.137701,31.578167
5801,-164.25438,3.2924182,5.665862,15.971668,15.265438,30.864185
5810,-164.24702,3.2851355,5.665066,14.876617,18.710415,30.169132
5821,-164.25435,3.2697074,5.676854,13.715045,20.926468,29.617939
5831,-164.25429,3.2776065,5.6708837,12.34867,21.2597,29.570206
5840,-164.23915,3.279829,5.6504345,11.455887,20.53394,29.992016
5850,-164.24574,3.2752616,5.6354985,11.263708,20.147264,30.532448
5861,-164.25229,3.270692,5.6205626,12.033939,20.026472,31.383284
5870,-164.25845,3.2601943,5.5977607,13.079355,19.200045,32.368458
5880,-164.29195,3.2381616,5.565181,13.76092,17.332842,33.083416
5891,-164.30455,3.2347782,5.5428166,14.680021,15.027471,33.85153
5901,-164.30432,3.2357614,5.5358987,16.038158,13.157191,34.590626
5911,-164.31104,3.2380893,5.52191,17.571516,11.61553,35.280025
5921,-164.31761,3.2335017,5.5069776,18.77215,9.902956,36.111813
5931,-164.2813,3.2405808,5.4948378,19.479763,7.7793303,36.927258
